Parameter,Unit,Value,,,,,Parameter,Unit,Brazil,China,EU-Mean,EU-Low,EU-High,India,USA,
Costs of transport,,,,,,,Costs of infrastructure,,,,,,,,,
Rocks via road (diesel),$/km/tonne rock,0.06,,,,,Mining facility CAPEX,$/tonne rock,5,5,5,5,5,5,5,PS: raw: 11.01
Fuel/Energy requirements,,,,,,,Mining facility OPEX,$/tonne rock,25.1,25.1,25.1,25.1,25.1,25.1,25.1,PS: from Strefler 2018.
Mining (diesel),kWh/tonne rock,4.17,,,,,Cost of rocks application,,,,,,,,,
Crushing (electricity),kWh/tonne rock,3.25,,,,,Rocks application,$/tonne rock,7.77,7.15,10.3,7.32,14.25,6.73,12.9,
Grinding (electricity),kWh/tonne rock,18.9,,,,,,,,,,,,,,
Secondary Grinding (electricity),kWh/tonne rock,150,,,,,,,,,,,,,,
Rocks application (diesel),kWh/tonne rock,4.92,,,,,,,,,,,,,,
Rocks Mining,,,,,,,,,,,,,,,,
Explosive rate for rock production,kg explosives/tonne rock,0.15,,,,,,,,,,,,,,
Ammonium nitrate rate in explosives,kg NH4-NO3/kg explosive,0.46,,,,,,,,,,,,,,
Rocks Crushing/Grinding,,,,,,,,,,,,,,,,
Initial diameter particle size,Ã×m,5000,,,,,,,,,,,,,,
Final diameter particle size,Ã×m,10,,,,,,,,,,,,,,
Rocks Application,,,,,,,,,,,,,,,,
Rocks Application Rate,tonnes rock/ha/yr,20,,,,,,,,,,,,,,
Rocks Supply Chain,,,,,,,,,,,,,,,,
Mining solid recovery,,0.95,,,,,,,,,,,,,,
Crushing/Grinding solid recovery,,1,,,,,,,,,,,,,,
Transport solid recovery,,0.99,,,,,,,,,,,,,,
Rocks application solid recovery,,1,,,,,,,,,,,,,,
Mining Facility to Field Distance,km,50,,,,,,,,,,,,,,
Conversion factors,,,,,,,,,,,,,,,,
N2ON to N2O,kg N2O/kg N2ON,1.57,,,,,,,,,,,,,,
NH4NO3 to N,kg N/kg NH4NO3,0.34,,,,,,,,,,,,,,
Carbonation & Enhanced Weathering Potential,,,,,,,,,,,,,,,,
Basalt rocks,kg CO2/tonne rock,176,PS: raw: 176,,,,,,,,,,,,,
Dunite rocks,kg CO2/tonne rock,537,PS: raw: 537,,,,,,,,,,,,,
Enhanced weathering to carbonation ratio,,1.7,PS: high,,,,,,,,,,,,,
Enhanced weathering to carbonation ratio,,1,PS; low,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PS: All from Solene 2022.,,,,,,,,,,,,,,,,
